DateTime,Open,High,Low,Close,Ticks(from bar),Volume(from bar),Goose Zones_MA Line,Goose Zones_Upper Keltner,Goose Zones_Lower Keltner,Goose Zones_Short Trigger,Goose Zones_Top of Range,Goose Zones_Long Trigger,Goose Zones_Bottom of Range,Goose Zones_Arrow Marker,
1/30/2024 1:00:00 AM -06:00,38428,38431,38401,38429,1362,1514,,,,,,,,,
1/30/2024 2:00:00 AM -06:00,38428,38449,38417,38438,2094,2206,,,,,,,,,
1/30/2024 3:00:00 AM -06:00,38438,38452,38428,38434,1406,1529,,,,,,,,,
1/30/2024 4:00:00 AM -06:00,38434,38450,38428,38432,1113,1210,,,,,,,,,
1/30/2024 5:00:00 AM -06:00,38433,38436,38416,38431,1438,1618,,,,,,,,,
1/30/2024 6:00:00 AM -06:00,38432,38441,38406,38423,1625,1808,,,,,,,,,
1/30/2024 7:00:00 AM -06:00,38424,38426,38386,38400,3076,3351,,,,,,,,,
1/30/2024 8:00:00 AM -06:00,38401,38479,38396,38474,14479,15580,,,,,,,,,
1/30/2024 9:00:00 AM -06:00,38475,38476,38391,38436,14573,15663,,,,,,,,,
1/30/2024 10:00:00 AM -06:00,38435,38548,38432,38530,9864,11014,,,,,,,,,
1/30/2024 11:00:00 AM -06:00,38531,38546,38489,38522,8178,8701,,,,,,,,,
1/30/2024 12:00:00 PM -06:00,38522,38585,38514,38568,5909,6528,,,,,,,,,
1/30/2024 1:00:00 PM -06:00,38567,38624,38549,38614,5766,6465,,,,,,,,,
1/30/2024 2:00:00 PM -06:00,38615,38642,38590,38600,11356,12882,,,,,,,,,
1/30/2024 3:00:00 PM -06:00,38599,38644,38567,38602,8890,9643,,,,,,,,,
1/30/2024 5:00:00 PM -06:00,38568,38666,38568,38601,2423,2742,,,,,,,,,
1/30/2024 6:00:00 PM -06:00,38602,38634,38601,38627,934,1011,,,,,,,,,
1/30/2024 7:00:00 PM -06:00,38628,38638,38619,38621,621,645,,,,,,,,,
1/30/2024 8:00:00 PM -06:00,38621,38630,38615,38620,434,457,,,,,,,,,
1/30/2024 9:00:00 PM -06:00,38621,38628,38618,38622,303,317,,,,,,,,,
1/30/2024 10:00:00 PM -06:00,38623,38635,38622,38631,306,334,,,,,,,,,
1/30/2024 11:00:00 PM -06:00,38633,38637,38610,38614,665,711,,,,,,,,,
1/31/2024 12:00:00 AM -06:00,38614,38625,38595,38595,731,839,,,,,,,,,
1/31/2024 1:00:00 AM -06:00,38596,38646,38586,38641,1531,1820,,,,,,,,,
1/31/2024 2:00:00 AM -06:00,38640,38685,38629,38653,2185,2319,,,,,,,,,
1/31/2024 3:00:00 AM -06:00,38654,38664,38632,38635,2805,3186,,,,,,,,,
1/31/2024 4:00:00 AM -06:00,38635,38660,38630,38658,1441,1600,,,,,,,,,
1/31/2024 5:00:00 AM -06:00,38658,38686,38654,38662,1875,2189,,,,,,,,,
1/31/2024 6:00:00 AM -06:00,38663,38667,38609,38661,5537,6249,,,,,,,,,
1/31/2024 7:00:00 AM -06:00,38661,38702,38631,38652,5984,6832,,,,,,,,,
1/31/2024 8:00:00 AM -06:00,38652,38720,38599,38629,21286,23421,,,,,,,,,
1/31/2024 9:00:00 AM -06:00,38630,38651,38586,38623,13976,15159,,,,,,,,,
1/31/2024 10:00:00 AM -06:00,38624,38664,38547,38606,10669,12001,,,,,,,,,
1/31/2024 11:00:00 AM -06:00,38606,38652,38576,38643,7754,8438,,,,,,,,,
1/31/2024 12:00:00 PM -06:00,38644,38650,38581,38607,5685,6176,,,,,,,,,
1/31/2024 1:00:00 PM -06:00,38606,38694,38498,38533,33554,36690,,,,,,,,,
1/31/2024 2:00:00 PM -06:00,38534,38541,38268,38270,39211,42383,,,,,,,,,
1/31/2024 3:00:00 PM -06:00,38272,38316,38247,38293,5782,6422,,,,,,,,,
1/31/2024 5:00:00 PM -06:00,38288,38308,38265,38300,1663,1814,,,,,,,,,
1/31/2024 6:00:00 PM -06:00,38302,38341,38302,38312,761,812,,,,,,,,,
1/31/2024 7:00:00 PM -06:00,38311,38324,38299,38315,867,933,,,,,,,,,
1/31/2024 8:00:00 PM -06:00,38317,38350,38317,38335,753,772,,,,,,,,,
1/31/2024 9:00:00 PM -06:00,38336,38339,38318,38330,443,457,,,,,,,,,
1/31/2024 10:00:00 PM -06:00,38330,38340,38324,38334,270,278,,,,,,,,,
