datetime,open,high,low,close,ticks,volume,ma_line,upper_keltner,lower_keltner,short_trigger,short_stop,long_trigger,long_stop,arrow_marker,goose_momentum_goosemomentum,goose_momentum_goosemomentum_2,sessionDate,sessionType
2024-02-20 06:03:00-05:00,38567,38569,38547,38547,432,502,38616.5236541669,38678.0569478068,38554.9903605271,38767.4,38837.8,38626.6,38556.2,,19.9941168620472,28.2091750318345,2024-02-19,GBX
2024-02-20 06:04:00-05:00,38546,38559,38540,38555,230,246,38615.9114785036,38678.6285204654,38553.1944365418,38767.4,38837.8,38626.6,38556.2,,9.35373124353141,18.7814531376829,2024-02-19,GBX
2024-02-20 06:05:00-05:00,38555,38561,38553,38559,70,79,38615.3451951354,38678.1944058339,38552.4959844369,38767.4,38837.8,38626.6,38556.2,,-0.597919087915009,9.09176702488396,2024-02-19,GBX
2024-02-20 06:07:00-05:00,38563,38565,38555,38562,79,94,38614.2987320254,38677.8781630512,38550.7193009996,38767.4,38837.8,38626.6,38556.2,,-17.0110881644024,-8.57068280526728,2024-02-19,GBX
2024-02-20 06:15:00-05:00,38562,38564,38552,38553,231,244,38610.8767061657,38677.690397656,38544.0630146754,38767.4,38837.8,38626.6,38556.2,,-40.4322144769816,-38.4153912930484,2024-02-19,GBX
2024-02-20 06:16:00-05:00,38553,38558,38550,38555,68,75,38610.3207190397,38677.2258165848,38543.4156214945,38767.4,38837.8,38626.6,38556.2,,-43.1513376924907,-40.7833644927696,2024-02-19,GBX
2024-02-20 06:17:00-05:00,38555,38556,38547,38547,67,81,38609.6906621338,38676.780783584,38542.6005406836,38767.4,38837.8,38626.6,38556.2,,-46.4741749827391,-43.6287697377543,2024-02-19,GBX
2024-02-20 06:18:00-05:00,38547,38559,38547,38551,78,80,38609.1066754459,38676.6635618568,38541.549789035,38767.4,38837.8,38626.6,38556.2,,-49.8358091791137,-46.732289458434,2024-02-19,GBX
2024-02-20 06:19:00-05:00,38551,38552,38547,38550,41,41,38608.5185493221,38675.8758647239,38541.1612339203,38767.4,38837.8,38626.6,38556.2,,-53.1669485506865,-49.9496190045603,2024-02-19,GBX
2024-02-20 06:20:00-05:00,38550,38558,38550,38558,33,34,38608.0158771895,38675.459189453,38540.572564926,38767.4,38837.8,38626.6,38556.2,,-55.884198451698,-52.9169087281291,2024-02-19,GBX
2024-02-20 06:22:00-05:00,38560,38560,38553,38553,19,19,38606.9855882919,38674.0358743974,38539.9353021865,38767.4,38837.8,38626.6,38556.2,,-60.1162516986283,-57.7981395279852,2024-02-19,GBX
2024-02-20 06:23:00-05:00,38553,38558,38552,38558,20,20,38606.498169503,38673.4484527616,38539.5478862443,38767.4,38837.8,38626.6,38556.2,,-61.7654482423753,-59.7817938851802,2024-02-19,GBX
2024-02-20 06:24:00-05:00,38558,38558,38546,38548,38,38,38605.9160981646,38673.3345378087,38538.4976585205,38767.4,38837.8,38626.6,38556.2,,-63.6700220797028,-61.7259079824415,2024-02-19,GBX
2024-02-20 06:25:00-05:00,38549,38550,38541,38546,74,81,38605.3199180834,38672.9182737509,38537.7215624158,38767.4,38837.8,38626.6,38556.2,,-65.79871353578,-63.7623107591108,2024-02-19,GBX
2024-02-20 06:26:00-05:00,38546,38552,38544,38548,114,122,38604.7495706398,38672.4315247584,38537.0676165211,38767.4,38837.8,38626.6,38556.2,,-67.8871977734766,-65.8247542662937,2024-02-19,GBX
2024-02-20 06:27:00-05:00,38550,38550,38543,38543,61,62,38604.1351470513,38671.8053404324,38536.4649536702,38767.4,38837.8,38626.6,38556.2,,-70.1738747582254,-67.9993145122595,2024-02-19,GBX
2024-02-20 06:28:00-05:00,38544,38545,38542,38543,18,22,38603.5268371304,38670.8072773436,38536.2463969172,38767.4,38837.8,38626.6,38556.2,,-72.5163815317219,-70.2578480219907,2024-02-19,GBX
2024-02-20 06:29:00-05:00,38543,38543,38539,38541,34,34,38602.904679547,38669.8937720964,38535.9155869977,38767.4,38837.8,38626.6,38556.2,,-74.8843087996591,-72.5710784108249,2024-02-19,GBX
2024-02-20 06:30:00-05:00,38540,38542,38523,38526,250,283,38602.139458855,38670.25801317,38534.02090454,38767.4,38837.8,38626.6,38556.2,,-77.23685572359,-74.9039670672075,2024-02-19,GBX
2024-02-20 06:31:00-05:00,38527,38537,38526,38535,209,224,38601.471404538,38669.9519632878,38532.9908457883,38767.4,38837.8,38626.6,38556.2,,-78.9503582527081,-76.9271626599578,2024-02-19,GBX
2024-02-20 06:32:00-05:00,38536,38554,38536,38553,222,249,38600.9891020053,38670.584282061,38531.3939219497,38767.4,38837.8,38626.6,38556.2,,-79.1398126940773,-78.0334876770176,2024-02-19,GBX
2024-02-20 06:33:00-05:00,38551,38554,38550,38553,50,60,38600.5115985028,38669.7923986574,38531.2307983482,38767.4,38837.8,38626.6,38556.2,,-78.3317407105316,-78.1826141937746,2024-02-19,GBX
2024-02-20 06:34:00-05:00,38553,38553,38539,38539,66,71,38599.8995427963,38669.8143648399,38529.9847207527,38767.4,38837.8,38626.6,38556.2,,-77.6953057596528,-77.9389599767137,2024-02-19,GBX
2024-02-20 06:35:00-05:00,38540,38546,38540,38544,26,26,38599.3433284401,38669.224172155,38529.4624847253,38767.4,38837.8,38626.6,38556.2,,-76.9178172281541,-77.4283886024339,2024-02-19,GBX
2024-02-20 06:36:00-05:00,38543,38548,38543,38546,42,48,38598.8125490526,38668.4706978052,38529.1544003001,38767.4,38837.8,38626.6,38556.2,,-75.9689697112635,-76.6986791568487,2024-02-19,GBX
2024-02-20 06:37:00-05:00,38547,38548,38539,38539,56,64,38598.2173993108,38668.033178424,38528.4016201976,38767.4,38837.8,38626.6,38556.2,,-75.3253470153729,-76.0120130861108,2024-02-19,GBX
2024-02-20 06:38:00-05:00,38539,38546,38537,38545,42,48,38597.6878729495,38667.6597139621,38527.716031937,38767.4,38837.8,38626.6,38556.2,,-74.5805050369785,-75.2962590615446,2024-02-19,GBX
2024-02-20 06:39:00-05:00,38548,38560,38548,38560,18,19,38597.3128692386,38668.0063834749,38526.6193550023,38767.4,38837.8,38626.6,38556.2,,-72.9936142667623,-74.1449366641535,2024-02-19,GBX
2024-02-20 06:46:00-05:00,38557,38568,38554,38567,75,78,38594.8966182651,38665.0499002185,38524.7433363117,38767.4,38837.8,38626.6,38556.2,,-56.4595638935351,-58.6677156830147,2024-02-19,GBX
2024-02-20 07:01:00-05:00,38581,38600,38524,38540,1698,2014,38591.6474591677,38666.4274360145,38516.8674823209,38767.4,38837.8,38626.6,38556.2,,-27.7248291098499,-28.4557739352701,2024-02-19,GBX
2024-02-20 07:02:00-05:00,38540,38566,38535,38548,669,718,38591.2131560914,38668.1794018253,38514.2469103575,38767.4,38837.8,38626.6,38556.2,,-29.0630062172107,-28.7593900762404,2024-02-19,GBX
2024-02-20 07:03:00-05:00,38550,38569,38543,38563,218,230,38590.9324281701,38669.5905520558,38512.2743042843,38767.4,38837.8,38626.6,38556.2,,-30.2694401604799,-29.5144151183602,2024-02-19,GBX
2024-02-22 03:18:00-05:00,38858,38882,38858,38878,212,247,38762.1197642897,38807.1588220596,38717.0807065198,38772.975,38868.95,38581.025,38485.05,,91.4005104018616,91.2204654264518,2024-02-21,GBX
2024-02-22 03:19:00-05:00,38879,38882,38869,38881,131,135,38763.3026522072,38809.1224158699,38717.4828885445,38772.975,38868.95,38581.025,38485.05,,91.9180159465469,91.5692406864994,2024-02-21,GBX
2024-02-22 03:20:00-05:00,38883,38885,38880,38883,84,90,38764.4936705932,38810.3301530254,38718.657188161,38772.975,38868.95,38581.025,38485.05,,92.4865830617844,92.0279118741419,2024-02-21,GBX
2024-02-22 03:21:00-05:00,38882,38885,38877,38879,114,118,38765.633037055,38811.7696539904,38719.4964201196,38772.975,38868.95,38581.025,38485.05,,92.8594494954445,92.4436806847932,2024-02-21,GBX
2024-02-22 03:22:00-05:00,38881,38886,38880,38884,94,95,38766.8108177808,38813.1500554432,38720.4715801184,38772.975,38868.95,38581.025,38485.05,,93.2885177623395,92.8660992235664,2024-02-21,GBX
2024-02-22 03:23:00-05:00,38884,38884,38879,38880,70,70,38767.9370783004,38814.2878658368,38721.586290764,38772.975,38868.95,38581.025,38485.05,,93.5451780150099,93.2056386192881,2024-02-21,GBX
2024-02-22 03:24:00-05:00,38880,38887,38879,38886,83,89,38769.1118337402,38815.757638316,38722.4660291643,38772.975,38868.95,38581.025,38485.05,,93.9137716546536,93.5597051369708,2024-02-21,GBX
